,freq_tr,freq_te,cnt_tr,cnt_te,abs_diff,rel_change
ADCY2,0.029188840509595228,0.045168892380204245,181,115,0.015980051870609017,0.5474712798323011
ADCY6,0.011449766166747298,0.030636292223095052,71,78,0.019186526056347755,1.675713353174823
ADCY9,0.019996774713755845,0.038884524744697564,124,99,0.01888775003094172,0.9445398221118517
ADCYAP1,0.003709079180777294,0.016889238020424194,23,43,0.013180158839646901,3.553485433245671
ADD1,0.008547008547008548,0.018067556952081697,53,46,0.009520548405073149,1.1139041633935582
ADD2,0.01564263828414772,0.031421838177533384,97,80,0.015779199893385665,1.0087300880297372
ADD3,0.0075794226737622965,0.020031421838177535,47,51,0.012451999164415238,1.6428690812455082
ADGRA2,0.0,0.03181461115475255,0,81,0.03181461115475255,
ADGRE1,0.0,0.023173605655930872,0,59,0.023173605655930872,
ADGRG1,0.0,0.01021209740769835,0,26,0.01021209740769835,
ADGRL2,0.0,0.02670856245090338,0,68,0.02670856245090338,
ADGRL4,0.0,0.021602513747054203,0,55,0.021602513747054203,
ADH1C,0.0,0.01178318931657502,0,30,0.01178318931657502,
ADH4,0.006289308176100629,0.01021209740769835,39,26,0.003922789231597721,0.6237234878240376
ADH5,0.0041928721174004195,0.005106048703849175,26,13,0.0009131765864487558,0.21779261586802826
ADH7,0.007418158361554588,0.014532600157109192,46,37,0.007114441795554604,0.9590576863963935
ADIG,0.0006450572488308337,0.0015710919088766694,4,4,0.0009260346600458356,1.4355852317360567
ADIPOQ,0.0041928721174004195,0.011390416339355853,26,29,0.007197544221955433,1.7166142969363707
ADIPOR1,0.00516045799064667,0.011390416339355853,32,29,0.006229958348709183,1.2072491162608012
ADIPOR2,0.0041928721174004195,0.007462686567164179,26,19,0.0032698144497637594,0.7798507462686566
ADM,0.002580228995323335,0.01178318931657502,16,30,0.009202960321251685,3.566722309505106
ADORA2B,0.0020964360587002098,0.007855459544383346,13,20,0.005759023485683136,2.747054202670856
ADRA1B,0.0059667795516852125,0.034171249018067555,37,87,0.028204469466382342,4.72691662597397
ADRA2B,0.009353330108047089,0.024351924587588374,58,62,0.014998594479541286,1.6035566270281987
ADRA2C,0.004515400741815836,0.03260015710919089,28,83,0.028084756367375053,6.219770508360454
ADRM1,0.003709079180777294,0.007462686567164179,23,19,0.003753607386386885,1.0120051914341337
ADSL,0.0075794226737622965,0.010997643362136685,47,28,0.0034182206883743883,0.4509869465661613
AEBP1,0.013062409288824383,0.0420267085624509,81,107,0.028964299273626516,2.2173780221698522
AEN,0.0038703434929850023,0.008248232521602514,24,21,0.004377889028617512,1.1311370777690497
AFAP1L2,0.01032091598129334,0.01728201099764336,64,44,0.006961095016350021,0.6744648468185387
AFF1,0.014997581035316884,0.029850746268656716,93,76,0.014853165233339832,0.9903707270101108
AFG3L2,0.0075794226737622965,0.015710919088766692,47,40,0.008131496415004396,1.072838495094516
AGER,0.0027414933075310434,0.01021209740769835,17,26,0.007470604100167307,2.725012707361028
AGFG1,0.005321722302854378,0.012175962293794187,33,31,0.006854239990939809,1.2879740055702351
AGGF1,0.00822447992259313,0.020031421838177535,51,51,0.011806941915584405,1.4355852317360567
AGL,0.019029188840509595,0.030636292223095052,118,78,0.011607103382585457,0.609963119283156
AGO2,0.014029995162070633,0.030636292223095052,87,78,0.01660629706102442,1.1836281387978442
AGO4,0.010159651669085631,0.03338570306362922,63,85,0.02322605139454359,2.286107058691505
AGPAT3,0.005321722302854378,0.012961508248232521,33,33,0.0076397859453781435,1.4355852317360567
AGPAT4,0.007095629737139171,0.021602513747054203,44,55,0.014506884009915032,2.0444815396700706
AGR2,0.0020964360587002098,0.007855459544383346,13,20,0.005759023485683136,2.747054202670856
AGRN,0.01564263828414772,0.06677140612725845,97,170,0.051128767843110726,3.2685514370631914
AGXT,0.006773101112723754,0.02631578947368421,42,67,0.019542688360960455,2.8853383458646618
AHCY,0.005644250927269795,0.01021209740769835,35,26,0.004567846480428556,0.8092918864324994
AHNAK,0.056281244960490244,0.3040062843676355,349,774,0.24772503940714524,4.401555786142429
AHR,0.009837123044670215,0.01767478397486253,61,45,0.007837660930192315,0.7967432037397139
AHSP,0.0020964360587002098,0.007069913589945012,13,18,0.004973477531244802,2.3723487824037703
AIFM1,0.0077406869859700045,0.01335428122545169,48,34,0.005613594239481685,0.7252062058130402
AIFM3,0.009353330108047089,0.020816967792615867,58,53,0.011463637684568779,1.2256209876208795
AIMP2,0.003709079180777294,0.01178318931657502,23,30,0.008074110135797726,2.176850302264422
AK1,0.001451378809869376,0.003534956794972506,9,9,0.00208357798510313,1.4355852317360565
AK2,0.004676665054023544,0.01767478397486253,29,45,0.012998118920838986,2.779356394073192
AK3,0.002580228995323335,0.00432050274941084,16,11,0.0017402737540875052,0.6744648468185387
AK4,0.0017739074342847927,0.009033778476040848,11,23,0.007259871041756055,4.092587302720846
AKAP1,0.009837123044670215,0.018067556952081697,61,46,0.008230433907411482,0.8366708304894851
AKAP10,0.005321722302854378,0.01728201099764336,33,44,0.011960288694788983,2.2474469756480753
AKAP12,0.018867924528301886,0.045168892380204245,117,115,0.02630096785190236,1.3939512961508251
AKAP13,0.031124012256087727,0.04870384917517675,193,124,0.01757983691908902,0.5648319623589172
AKAP4,0.018061602967263345,0.014925373134328358,112,38,-0.0031362298329349874,-0.17364072494669514
AKAP7,0.0041928721174004195,0.016496465043205028,26,42,0.012303592925804609,2.934406912804399
AKR1A1,0.0038703434929850023,0.0054988216810683424,24,14,0.0016284781880833402,0.42075805184603304
AKR1B10,0.0059667795516852125,0.0192458758837392,37,49,0.013279096332053986,2.2255047663531555
AKR1C2,0.0035478148685695854,0.007069913589945012,22,18,0.0035220987213754264,0.9927515532385918
AKR1C3,0.004515400741815836,0.014139827179890024,28,36,0.009624426438074186,2.131466726517787
AKR1D1,0.0075794226737622965,0.012568735271013355,47,32,0.004989312597251059,0.658270796075613
AKT1,0.0077406869859700045,0.0192458758837392,48,49,0.011505188897769195,1.486326590730558
AKT1S1,0.0016126431220770843,0.007462686567164179,10,19,0.005850043445087095,3.6276119402985074
AKT2,0.009998387356877922,0.014139827179890024,62,36,0.004141439823012101,0.41421077971771036
AKT3,0.006611836800516046,0.018460329929300863,41,47,0.011848493128784818,1.7920123388193818
ALAD,0.0041928721174004195,0.01021209740769835,26,26,0.006019225290297931,1.4355852317360565
ALAS1,0.007418158361554588,0.016889238020424194,46,43,0.009471079658869607,1.2767427166228356
ALAS2,0.009998387356877922,0.018460329929300863,62,47,0.00846194257242294,0.8463307401870106
ALB,0.015320109659732302,0.020816967792615867,95,53,0.0054968581328835656,0.3588001819159051
ALCAM,0.009030801483631673,0.01335428122545169,56,34,0.004323479741820017,0.4787481764111772
ALDH18A1,0.008869537171423964,0.016496465043205028,55,42,0.007626927871781064,0.8599014496893523
ALDH1A1,0.009353330108047089,0.014925373134328358,58,38,0.005572043026281269,0.5957282552753475
ALDH1A2,0.009675858732462506,0.01767478397486253,60,45,0.007998925242400024,0.8266889238020425
ALDH1A3,0.0077406869859700045,0.014532600157109192,48,37,0.006791913171139187,0.8774302827965438
ALDH1L1,0.0172552814062248,0.03338570306362922,107,85,0.01613042165740442,0.9348106981080825
ALDH2,0.007095629737139171,0.01767478397486253,44,45,0.010579154237723359,1.4909394415482398
ALDH3A1,0.006934365424931463,0.022780832678711706,43,58,0.015846467253780243,2.2852079869928206
ALDH3A2,0.004999193678438961,0.007462686567164179,31,19,0.002463492888725218,0.4927780452575831
ALDH3B1,0.003709079180777294,0.015710919088766692,23,40,0.0120018399079894,3.235800403019229
ALDH6A1,0.00516045799064667,0.014925373134328358,32,38,0.009764915143681687,1.892257462686567
ALDH7A1,0.004837929366231253,0.01335428122545169,30,34,0.008516351859220436,1.760329929300864
ALDH8A1,0.008547008547008548,0.018853102906520033,53,48,0.010306094359511485,1.2058130400628435
ALDH9A1,0.00516045799064667,0.010997643362136685,32,28,0.005837185371490015,1.1311370777690495
ALDOA,0.00516045799064667,0.009426551453260016,32,24,0.004266093462613346,0.8266889238020425
ALDOB,0.009353330108047089,0.01178318931657502,58,30,0.0024298592085279305,0.2597854646910638
ALDOC,0.004515400741815836,0.009033778476040848,28,23,0.004518377734225012,1.0006592974974748
ALG1,0.00516045799064667,0.01335428122545169,32,34,0.008193823234805019,1.58780930871956
ALMS1,0.041928721174004195,0.1021209740769835,260,260,0.06019225290297931,1.4355852317360565
ALOX12B,0.009514594420254797,0.02513747054202671,59,64,0.015622876121771913,1.641990759849282
ALOX15,0.007901951298177712,0.01610369206598586,49,41,0.008201740767808146,1.0379386632893535
ALOX15B,0.008708272859216255,0.023173605655930872,54,59,0.014465332796714617,1.6611023828227287
ALS2,0.017094017094017096,0.03181461115475255,106,81,0.014720594060735455,0.861154752553024
ALYREF,0.002257700370907918,0.009033778476040848,14,23,0.00677607810513293,3.0013185949949497
AMACR,0.00612804386389292,0.014925373134328358,38,38,0.008797329270435437,1.4355852317360565
AMBN,0.009837123044670215,0.020031421838177535,61,51,0.01019429879350732,1.0363089642383423
AMD1,0.0035478148685695854,0.006677140612725845,22,17,0.0031293257441562593,0.8820431336142256
AMFR,0.0059667795516852125,0.020816967792615867,37,53,0.014850188240930654,2.4888112778921885
AMH,0.0019351717464925011,0.01610369206598586,12,41,0.014168520319493358,7.321582875098192
AMIGO1,0.005482986615062087,0.014532600157109192,34,37,0.009049613542047105,1.6504898110068853
AMIGO2,0.0,0.012961508248232521,0,33,0.012961508248232521,
AMMECR1,0.0032252862441541686,0.01178318931657502,20,30,0.008557903072420851,2.653377847604085
AMOT,0.015803902596355425,0.029065200314218383,98,74,0.013261297717862958,0.8391153790660022
AMPD3,0.013707466537655217,0.022780832678711706,85,58,0.009073366141056489,0.6619287463610739
AMPH,0.017739074342847928,0.03652788688138256,110,93,0.018788812538534632,1.0591766050132114
ANG,0.002257700370907918,0.0019638648860958365,14,5,-0.00029383548481208164,-0.13014813152283702
ANGPT1,0.010643444605708756,0.01610369206598586,66,41,0.0054602474602771026,0.5130150681996715
ANGPTL3,0.004999193678438961,0.00864100549882168,31,22,0.0036418118203827192,0.7284798418772014
ANGPTL4,0.00516045799064667,0.010997643362136685,32,28,0.005837185371490015,1.1311370777690495
ANK1,0.037897113368811484,0.0624509033778476,235,159,0.024553790009036118,0.6479066036001403
ANKH,0.009514594420254797,0.016496465043205028,59,42,0.006981870622950231,0.7338064361510912
ANKRA2,0.002580228995323335,0.0054988216810683424,16,14,0.0029185926857450075,1.1311370777690495
ANKRD2,0.004031607805192711,0.01767478397486253,25,45,0.01364317616966982,3.3840534171249024
ANKZF1,0.00612804386389292,0.023173605655930872,38,59,0.01704556179203795,2.7815665440112456
ANLN,0.013223673601032092,0.028279654359780047,82,72,0.015055980758747955,1.138562642499952
ANO1,0.01451378809869376,0.031029065200314218,90,79,0.016515277101620457,1.1379025923016495
ANP32E,0.003386550556361877,0.007462686567164179,21,19,0.004076136010802302,1.2036247334754797
ANPEP,0.018867924528301886,0.030243519245875882,117,77,0.011375594717573996,0.6029065200314219
ANTXR2,0.005321722302854378,0.019638648860958365,33,50,0.014316926558103987,2.6902806541455404
ANXA1,0.0043541364296081275,0.010604870384917517,27,27,0.006250733955309389,1.4355852317360565
ANXA10,0.00612804386389292,0.009819324430479183,38,25,0.003691280566586262,0.6023587050895108
ANXA13,0.004676665054023544,0.015710919088766692,29,40,0.011034254034743148,2.359427905842837
ANXA2,0.002902757619738752,0.006677140612725845,18,17,0.003774382992987093,1.3002749410840535
ANXA4,0.004999193678438961,0.010604870384917517,31,27,0.005605676706478556,1.1213161695765654
ANXA5,0.0032252862441541686,0.007462686567164179,20,19,0.00423740032301001,1.3138059701492535
ANXA9,0.004999193678438961,0.009033778476040848,31,23,0.004034584797601887,0.8070471074170743
AOC3,0.012739880664408966,0.021602513747054203,79,55,0.008862633082645238,0.6956606043732041
AOX1,0.02144815352362522,0.029065200314218383,133,74,0.007617046790593163,0.3551376477328436
AP1G1,0.009998387356877922,0.018853102906520033,62,48,0.00885471554964211,0.8856143729569472
AP2B1,0.010965973230124174,0.016889238020424194,68,43,0.005923264790300021,0.540149484774271
AP2M1,0.004999193678438961,0.010997643362136685,31,28,0.005998449683697724,1.1998834351164382
AP2S1,0.0006450572488308337,0.005106048703849175,4,13,0.004460991455018342,6.915652003142184
AP3B1,0.011127237542331882,0.029850746268656716,69,76,0.018723508726324833,1.6826735885788446
AP3S1,0.002902757619738752,0.01335428122545169,18,34,0.010451523605712937,3.600549882168107
AP4B1,0.008708272859216255,0.021602513747054203,54,55,0.012894240887837949,1.4806886619533912
APAF1,0.012739880664408966,0.02199528672427337,79,56,0.009255406059864404,0.7264907971799895
APBB1,0.010159651669085631,0.023173605655930872,63,59,0.013013953986845241,1.2809448995623387
APBB2,0.009353330108047089,0.019638648860958365,58,50,0.010285318752911277,1.099642441151773
APC,0.059184002580228996,0.27729772191673213,367,706,0.21811371933650314,3.6853492468818962
APEX1,0.0032252862441541686,0.007855459544383346,20,20,0.004630173300229178,1.4355852317360567
APH1A,0.00306402193194646,0.008248232521602514,19,21,0.005184210589656054,1.6919626245503785
APLNR,0.011127237542331882,0.01767478397486253,69,45,0.006547546432530648,0.5884251511322108
APLP1,0.01451378809869376,0.020816967792615867,90,53,0.006303179693922108,0.43428908091123325
APLP2,0.008547008547008548,0.020031421838177535,53,51,0.011484413291168987,1.3436763550667714
APOA1,0.0035478148685695854,0.009819324430479183,22,25,0.006271509561909597,1.767710490609155
APOA4,0.006773101112723754,0.018067556952081697,42,46,0.011294455839357943,1.6675457299966334
APOBEC3F,0.0027414933075310434,0.01021209740769835,17,26,0.007470604100167307,2.725012707361028
APOBEC3G,0.005321722302854378,0.015318146111547526,33,39,0.009996423808693148,1.8784189102335216
APOC1,0.0016126431220770843,0.012961508248232521,10,33,0.011348865126155436,7.037431264728986
APOC2,0.0009675858732462506,0.0019638648860958365,6,5,0.000996279012849586,1.0296543597800472
APOC3,0.002257700370907918,0.0027494108405341712,14,7,0.000491710469626253,0.21779261586802823
APOD,0.0032252862441541686,0.003142183817753339,20,8,-8.310242640082984e-05,-0.02576590730557729
APOE,0.002580228995323335,0.016889238020424194,16,43,0.01430900902510086,5.545635310290652
APOH,0.00822447992259313,0.015318146111547526,51,39,0.007093666188954396,0.8625063536805139
APOL6,0.0041928721174004195,0.01021209740769835,26,26,0.006019225290297931,1.4355852317360565
APOM,0.0020964360587002098,0.004713275726630008,13,12,0.0026168396679297984,1.2482325216025139
APP,0.011449766166747298,0.018460329929300863,71,47,0.007010563762553565,0.6122888153745726
APPBP2,0.00725689404934688,0.008248232521602514,45,21,0.0009913384722556344,0.1366064414768264
APRT,0.0019351717464925011,0.008248232521602514,12,21,0.006313060775110013,3.2622741555380994
AQP3,0.00306402193194646,0.00589159465828751,19,15,0.0028275727263410494,0.922830446107413
AQP7,0.007418158361554588,0.010604870384917517,46,27,0.003186712023362929,0.42958263601898966
AQP9,0.00612804386389292,0.009033778476040848,38,23,0.002905734612147928,0.47417000868235004
AR,0.01854539590388647,0.06323644933228594,115,161,0.04469105342839946,2.409819324430479
ARAF,0.0075794226737622965,0.01728201099764336,47,44,0.009702588323881064,1.2801223446039676
ARAP3,0.017900338655055636,0.04241948153967007,111,108,0.02451914288461443,1.369758603851298
ARCN1,0.00612804386389292,0.012961508248232521,38,33,0.006833464384339601,1.1151134907181544
AREG,0.002257700370907918,0.011390416339355853,14,29,0.009132715968447934,4.045140837167546
ARF1,0.004031607805192711,0.00589159465828751,25,15,0.001859986853094799,0.46135113904163394
ARF4,0.0017739074342847927,0.003142183817753339,11,8,0.001368276383468546,0.7713347139898595
ARF6,0.002580228995323335,0.001178318931657502,16,3,-0.001401910063665833,-0.5433277690494893
ARFGAP1,0.004837929366231253,0.014139827179890024,30,36,0.00930189781365877,1.9227022780832679
ARFGAP3,0.005321722302854378,0.015710919088766692,33,40,0.010389196785912314,1.9522245233164324
ARFGEF1,0.021931946460248347,0.040455616653574236,136,103,0.01852367019332589,0.8445976387412782
ARFGEF2,0.022254475084663765,0.04673998428908091,138,119,0.024485509204417145,1.1002510331637008
ARFIP1,0.004999193678438961,0.009033778476040848,31,23,0.004034584797601887,0.8070471074170743
ARFIP2,0.0043541364296081275,0.006677140612725845,27,17,0.002323004183117717,0.5335166273893691
ARG1,0.003709079180777294,0.006677140612725845,23,17,0.002968061431948551,0.8002151712831723
ARG2,0.0038703434929850023,0.0054988216810683424,24,14,0.0016284781880833402,0.42075805184603304
ARHGAP10,0.008869537171423964,0.019638648860958365,55,50,0.010769111689534401,1.214168392487324
ARHGAP27,0.006611836800516046,0.02356637863315004,41,60,0.016954541832633993,2.5642710708332532
ARHGAP29,0.014997581035316884,0.029065200314218383,93,74,0.014067619278901499,0.937992549983529
ARHGAP4,0.008869537171423964,0.02474469756480754,55,63,0.015875160393383575,1.7898521745340281
ARHGAP5,0.02177068214804064,0.03456402199528672,135,88,0.012793339847246083,0.58764074365017
ARHGDIA,0.0019351717464925011,0.014532600157109192,12,37,0.01259742841061669,6.509721131186176
ARHGDIG,0.001451378809869376,0.009819324430479183,9,25,0.008367945620609806,5.7655145326001564
ARHGEF11,0.019190453152717304,0.04006284367635507,119,102,0.020872390523637766,1.0876444843451916
ARHGEF12,0.01628769553297855,0.031421838177533384,101,80,0.015134142644554833,0.9291764211770744
ARHGEF2,0.014675052410901468,0.022780832678711706,91,58,0.008105780267810237,0.5523510268207833
ARHGEF3,0.007901951298177712,0.019638648860958365,49,50,0.011736697562780653,1.4852910527918946
ARHGEF6,0.013546202225447508,0.015318146111547526,84,39,0.0017719438861000178,0.13080742902031203
ARHGEF7,0.012094823415578132,0.024351924587588374,75,62,0.012257101172010242,1.013417124901807
