ID,burden,pred_hypothesis,nn_train_class,nn_jaccard,is_twin,twin_raw,pred_pre17
TEST_0085,50,LUAD,COAD,0.20689656,False,,LUAD
TEST_0086,673,STES,PAAD,0.46689895,False,,STES
TEST_0087,21,BRCA,PAAD,0.22222222,False,,BRCA
TEST_0088,55,STES,UCEC,0.21875,False,,STES
TEST_0089,12,BRCA,UCEC,0.5,False,,BRCA
TEST_0090,1,THCA,THCA,1.0,True,THCA,THCA
TEST_0091,20,KIRC,KIPAN,1.0,True,KIPAN,KIRC
TEST_0092,990,ACC,PAAD,0.61937714,False,,ACC
TEST_0093,26,LIHC,HNSC,0.21052632,False,,LIHC
TEST_0094,2,THCA,KIPAN,0.0,False,,PRAD
TEST_0095,24,KIPAN,KIPAN,0.21428572,False,,KIPAN
TEST_0096,72,LUSC,HNSC,0.2,False,,LUSC
TEST_0097,1635,BRCA,PAAD,0.7235495,False,,LUSC
TEST_0098,42,COAD,STES,0.2,False,,COAD
TEST_0099,67,STES,HNSC,0.2,False,,STES
TEST_0100,2,THCA,THCA,0.5,False,,PRAD
TEST_0101,19,LIHC,KIPAN,0.4,False,,LIHC
TEST_0102,10,BRCA,LAML,0.6666667,False,,SARC
TEST_0103,8,GBMLGG,LGG,1.0,True,LGG,GBMLGG
TEST_0104,4,LGG,PRAD,1.0,True,GBMLGG,LGG
TEST_0105,41,LIHC,LIHC,0.22727273,False,,CESC
TEST_0106,56,HNSC,COAD,0.16666667,False,,LUSC
TEST_0107,12,KIPAN,LIHC,0.33333334,False,,SARC
TEST_0108,936,ACC,SKCM,0.5503597,False,,ACC
TEST_0109,71,LUSC,STES,0.17857143,False,,LUSC
TEST_0110,1,THCA,KIPAN,0.0,False,,LAML
TEST_0111,4,THCA,THCA,0.5,False,,THCA
TEST_0112,9,UCEC,UCEC,0.42857143,False,,UCEC
TEST_0113,16,BRCA,ACC,0.2857143,False,,BRCA
TEST_0114,59,HNSC,STES,0.22222222,False,,HNSC
TEST_0115,7,PRAD,KIPAN,0.0,False,,PRAD
TEST_0116,9,KIPAN,KIRC,1.0,True,KIRC,KIPAN
TEST_0117,8,GBMLGG,LGG,0.6666667,False,,GBMLGG
TEST_0118,9,PCPG,THYM,1.0,False,,PCPG
TEST_0119,706,STES,UCEC,0.4474708,False,,STES
TEST_0120,412,UCEC,UCEC,0.31687242,False,,UCEC
TEST_0121,23,GBMLGG,PRAD,0.25,False,,GBMLGG
TEST_0122,21,BRCA,CESC,0.375,False,,BRCA
TEST_0123,15,KIPAN,PRAD,0.4,False,,SARC
TEST_0124,7,THCA,THCA,0.5,False,,THCA
TEST_0125,44,STES,PAAD,0.2857143,False,,STES
TEST_0126,36,LIHC,UCEC,0.16666667,False,,LIHC
TEST_0127,9,GBMLGG,LGG,1.0,True,LGG,GBMLGG
TEST_0128,15,TGCT,ACC,0.33333334,False,,TGCT
TEST_0129,19,KIPAN,KIPAN,0.21428572,False,,KIPAN
TEST_0130,16,GBMLGG,THCA,0.4,False,,SARC
TEST_0131,1,LAML,KIPAN,0.0,True,LAML,LAML
TEST_0132,9,BRCA,OV,0.5,False,,BRCA
TEST_0133,44,STES,BRCA,0.16666667,False,,STES
TEST_0134,55,STES,LIHC,0.2173913,False,,STES
TEST_0135,25,KIPAN,KIRC,0.25,False,,KIPAN
TEST_0136,15,GBMLGG,KIPAN,0.33333334,False,,GBMLGG
TEST_0137,6,BRCA,BRCA,1.0,False,,BRCA
TEST_0138,21,GBMLGG,GBMLGG,0.25,False,,GBMLGG
TEST_0139,2,THCA,KIPAN,0.0,False,,THYM
TEST_0140,49,STES,HNSC,0.2,False,,LUSC
TEST_0141,19,GBMLGG,LIHC,0.30769232,False,,GBMLGG
TEST_0142,47,SKCM,TGCT,0.21052632,False,,SKCM
TEST_0143,58,BLCA,OV,0.22222222,False,,LUSC
TEST_0144,9,BRCA,STES,0.33333334,False,,PRAD
TEST_0145,3,THCA,THCA,1.0,False,,THCA
TEST_0146,34,BRCA,COAD,0.2,False,,KIPAN
TEST_0147,13,KIPAN,KIPAN,0.33333334,False,,KIPAN
TEST_0148,35,CESC,LIHC,0.25,False,,CESC
TEST_0149,145,LUSC,CESC,0.17045455,False,,LUSC
TEST_0150,33,COAD,STES,0.1875,False,,COAD
TEST_0151,5,THCA,THCA,0.33333334,False,,THCA
TEST_0152,6,OV,BRCA,0.5,False,,OV
TEST_0153,7,LGG,GBMLGG,0.8,False,,LGG
TEST_0154,19,KIRC,KIPAN,1.0,True,KIPAN,KIRC
TEST_0155,9,KIPAN,KIPAN,0.25,False,,PRAD
TEST_0156,4,PRAD,PCPG,0.33333334,False,,PRAD
TEST_0157,59,STES,BLCA,0.18421052,False,,STES
TEST_0158,62,HNSC,BRCA,0.2631579,False,,HNSC
TEST_0159,19,KIPAN,KIPAN,0.21428572,False,,KIPAN
TEST_0160,12,BRCA,LUAD,0.4,False,,SARC
TEST_0161,91,STES,HNSC,0.19512194,False,,STES
TEST_0162,46,LUAD,BRCA,0.25,False,,LUAD
TEST_0163,11,BRCA,BRCA,0.42857143,False,,OV
TEST_0164,7,GBMLGG,LGG,0.6666667,False,,GBMLGG
TEST_0165,306,BRCA,BLCA,0.23300971,False,,BRCA
TEST_0166,54,STES,BRCA,0.18518518,False,,LUAD
TEST_0167,51,STES,COAD,0.2631579,False,,STES
TEST_0168,17,KIPAN,BRCA,0.4,False,,KIRC
TEST_0169,456,UCEC,SKCM,0.40433213,False,,UCEC
TEST_0170,1,THCA,KIPAN,0.0,False,,THYM
TEST_0171,67,LUSC,BLCA,0.20588236,False,,LUSC
TEST_0172,20,LIHC,THCA,0.25,False,,LUAD
TEST_0173,4,PRAD,KIPAN,0.0,False,,PRAD
TEST_0174,14,BRCA,UCEC,0.33333334,False,,BRCA
TEST_0175,20,KIPAN,BRCA,0.22222222,False,,KIPAN
TEST_0176,21,GBMLGG,SKCM,0.2857143,False,,GBMLGG
TEST_0177,26,OV,KIPAN,0.25,False,,OV
TEST_0178,30,LUAD,KIRC,0.2,False,,LUAD
TEST_0179,147,BLCA,COAD,0.16176471,False,,CESC
TEST_0180,0,THYM,KIPAN,0.0,False,,THYM
TEST_0181,22,BRCA,BRCA,0.33333334,False,,HNSC
TEST_0182,15,BRCA,KIPAN,0.375,False,,BRCA
TEST_0183,32,STES,COAD,0.2631579,False,,STES
TEST_0184,13,THCA,THCA,1.0,False,,THCA
TEST_0185,4,BRCA,PRAD,1.0,False,,KIRC
TEST_0186,535,STES,SKCM,0.39426523,False,,STES
TEST_0187,0,THYM,KIPAN,0.0,False,,THYM
TEST_0188,6,GBMLGG,LGG,1.0,True,LGG,GBMLGG
TEST_0189,57,STES,COAD,0.26086956,False,,STES
TEST_0190,470,COAD,STES,0.3507109,False,,COAD
TEST_0191,13,UCEC,BRCA,0.6666667,False,,UCEC
TEST_0192,1,PCPG,KIPAN,0.0,False,,PRAD
TEST_0193,15,HNSC,OV,0.42857143,False,,HNSC
TEST_0194,63,LUAD,LUSC,0.175,False,,LUAD
TEST_0195,53,LUSC,STES,0.20689656,False,,LUSC
TEST_0196,51,STES,BRCA,0.26666668,False,,STES
TEST_0197,468,COAD,SKCM,0.38628158,False,,COAD
TEST_0198,29,KIPAN,PRAD,0.2,False,,KIPAN
TEST_0199,13,BRCA,KIPAN,0.25,False,,SARC
TEST_0200,15,KIRC,KIPAN,1.0,True,KIPAN,KIRC
TEST_0201,20,KIPAN,KIPAN,1.0,False,,KIPAN
TEST_0202,20,KIRC,KIPAN,1.0,True,KIPAN,KIRC
TEST_0203,14,GBMLGG,KIPAN,0.5,False,,GBMLGG
TEST_0204,9,THCA,THCA,0.33333334,False,,THCA
TEST_0205,18,SARC,SARC,0.33333334,False,,SARC
TEST_0206,10,BRCA,BRCA,0.33333334,False,,OV
TEST_0207,71,SKCM,STES,0.1388889,False,,SKCM
TEST_0208,7,UCEC,UCEC,1.0,False,,UCEC
TEST_0209,53,STES,COAD,0.23076923,False,,STES
TEST_0210,911,ACC,SKCM,0.53763443,False,,DLBC
TEST_0211,8,BRCA,OV,0.6666667,False,,BRCA
TEST_0212,5,GBMLGG,PRAD,1.0,True,LGG,GBMLGG
TEST_0213,10,BRCA,BRCA,1.0,False,,BRCA
TEST_0214,0,THYM,KIPAN,0.0,False,,THYM
TEST_0215,60,SKCM,KIPAN,0.1875,False,,SKCM
TEST_0216,77,BLCA,SKCM,0.19607843,False,,BLCA
TEST_0217,22,BRCA,THYM,0.25,False,,BRCA
TEST_0218,6,PRAD,GBMLGG,1.0,False,,PRAD
TEST_0219,0,THYM,KIPAN,0.0,False,,THYM
TEST_0220,8,BRCA,BRCA,0.6,False,,BRCA
TEST_0221,1845,CESC,PAAD,0.8213059,False,,CESC
TEST_0222,4,PRAD,THCA,0.5,False,,SARC
TEST_0223,8,GBMLGG,LGG,1.0,True,LGG,GBMLGG
TEST_0224,11,UCEC,PRAD,0.375,False,,LIHC
TEST_0225,109,LIHC,COAD,0.16129032,False,,LIHC
TEST_0226,16,BRCA,DLBC,0.2857143,False,,KIRC
TEST_0227,59,LUSC,KIPAN,0.20833333,False,,LUSC
TEST_0228,40,DLBC,BLCA,0.1875,False,,DLBC
TEST_0229,23,KIPAN,ACC,0.2857143,False,,KIPAN
TEST_0230,454,STES,PAAD,0.34494773,False,,STES
TEST_0231,19,TGCT,KIPAN,0.25,False,,KIPAN
TEST_0232,64,LUSC,ACC,0.1923077,False,,LUSC
TEST_0233,117,LUAD,GBMLGG,0.16,False,,LUAD
TEST_0234,182,LUSC,BLCA,0.17777778,False,,LUSC
TEST_0235,59,STES,COAD,0.17391305,False,,STES
TEST_0236,41,BRCA,BRCA,0.25,False,,BRCA
TEST_0237,7,BRCA,PCPG,0.6666667,False,,BRCA
TEST_0238,27,SKCM,THCA,0.25,False,,SKCM
TEST_0239,206,SKCM,SKCM,0.25,False,,SKCM
TEST_0240,68,LUSC,LUSC,0.17021276,False,,LUSC
TEST_0241,3,PCPG,KIPAN,0.5,False,,PCPG
TEST_0242,134,BLCA,UCEC,0.20987654,False,,BLCA
TEST_0243,12,BRCA,BRCA,0.5,False,,SARC
TEST_0244,25,KIPAN,KIRC,0.2857143,False,,KIPAN
TEST_0245,41,STES,TGCT,0.2857143,False,,STES
TEST_0246,6,SARC,BRCA,0.4,False,,SARC
TEST_0247,12,GBMLGG,LGG,1.0,True,LGG,GBMLGG
TEST_0248,949,ACC,SKCM,0.5503597,False,,ACC
TEST_0249,103,LUSC,BRCA,0.1724138,False,,LUSC
TEST_0250,33,STES,HNSC,0.27272728,False,,STES
TEST_0251,4,OV,HNSC,0.6666667,False,,OV
TEST_0252,65,COAD,COAD,0.17857143,False,,COAD
TEST_0253,4,THCA,THCA,0.5,False,,THCA
TEST_0254,74,SKCM,SKCM,0.20338982,False,,SKCM
TEST_0255,18,KIPAN,CESC,0.33333334,False,,KIPAN
TEST_0256,38,STES,HNSC,0.19354838,False,,STES
TEST_0257,21,OV,GBMLGG,0.33333334,False,,OV
TEST_0258,40,STES,LUSC,0.1923077,False,,STES
TEST_0259,52,STES,STES,0.22222222,False,,STES
TEST_0260,1,THCA,THCA,1.0,True,THCA,THCA
TEST_0261,33,KIPAN,CESC,0.21428572,False,,KIPAN
TEST_0262,19,TGCT,PCPG,0.33333334,False,,TGCT
TEST_0263,107,LUSC,HNSC,0.2,False,,LUSC
TEST_0264,15,GBMLGG,LGG,0.42857143,False,,GBMLGG
TEST_0265,9,BRCA,HNSC,0.4,False,,SARC
TEST_0266,46,SKCM,CESC,0.2,False,,SKCM
TEST_0267,16,KIPAN,KIRC,1.0,True,KIRC,KIPAN
TEST_0268,132,STES,STES,0.16483517,False,,DLBC
TEST_0269,15,KIRC,KIPAN,1.0,True,KIPAN,KIRC
TEST_0270,18,GBMLGG,GBMLGG,0.2857143,False,,GBMLGG
TEST_0271,14,KIPAN,KIRC,1.0,True,KIRC,KIPAN
TEST_0272,19,GBMLGG,UCEC,0.33333334,False,,GBMLGG
TEST_0273,18,GBMLGG,BRCA,0.375,False,,GBMLGG
TEST_0274,13,KIRC,PRAD,1.0,True,KIPAN,KIRC
TEST_0275,17,GBMLGG,UCEC,0.33333334,False,,GBMLGG
TEST_0276,68,COAD,COAD,0.13513513,False,,STES
TEST_0277,11,KIRC,KIPAN,1.0,True,KIPAN,KIRC
TEST_0278,31,COAD,COAD,0.26666668,False,,COAD
TEST_0279,31,COAD,OV,0.18181819,False,,COAD
TEST_0280,47,STES,OV,0.17391305,False,,LUSC
TEST_0281,53,SKCM,LUSC,0.20689656,False,,SKCM
TEST_0282,10,BRCA,BRCA,0.33333334,False,,BRCA
TEST_0283,28,HNSC,OV,0.33333334,False,,HNSC
TEST_0284,47,HNSC,BRCA,0.30769232,False,,BLCA
TEST_0285,23,GBMLGG,LIHC,0.25,False,,GBMLGG
TEST_0286,1938,UCEC,SKCM,0.82229966,False,,UCEC
TEST_0287,28,TGCT,PRAD,0.22222222,False,,TGCT
TEST_0288,24,BLCA,GBMLGG,0.375,False,,HNSC
TEST_0289,27,COAD,COAD,0.1764706,False,,COAD
TEST_0290,43,STES,LUAD,0.21052632,False,,STES
TEST_0291,9,GBMLGG,LGG,1.0,True,LGG,GBMLGG
TEST_0292,60,LUSC,COAD,0.20833333,False,,LUSC
TEST_0293,36,ACC,TGCT,0.3,False,,ACC
TEST_0294,0,THYM,KIPAN,0.0,False,,THYM
TEST_0295,185,STES,COAD,0.20512821,False,,STES
TEST_0296,14,SARC,LIHC,0.23076923,False,,SARC
TEST_0297,43,LUAD,COAD,0.17391305,False,,LUAD
TEST_0298,33,HNSC,STES,0.1923077,False,,HNSC
TEST_0299,54,UCEC,BRCA,0.30769232,False,,UCEC
TEST_0300,60,STES,STES,0.2,False,,STES
TEST_0301,4,THCA,THCA,1.0,False,,THCA
TEST_0302,61,STES,STES,0.17857143,False,,STES
TEST_0303,41,STES,STES,0.23809524,False,,STES
TEST_0304,63,BLCA,STES,0.2,False,,BLCA
TEST_0305,26,STES,PAAD,0.2857143,False,,STES
TEST_0306,26,STES,OV,0.30769232,False,,LUSC
TEST_0307,7,GBMLGG,KIRC,0.4,False,,SARC
TEST_0308,577,STES,PAAD,0.3754386,False,,STES
TEST_0309,47,HNSC,UCEC,0.2,False,,HNSC
TEST_0310,22,GBMLGG,LGG,1.0,True,LGG,GBMLGG
TEST_0311,14,BRCA,SARC,0.6666667,False,,SARC
TEST_0312,1191,COAD,PAAD,0.66206896,False,,COAD
TEST_0313,902,STES,UCEC,0.5652174,False,,STES
TEST_0314,82,STES,HNSC,0.18181819,False,,STES
TEST_0315,42,STES,TGCT,0.23076923,False,,STES
TEST_0316,6,BRCA,UCEC,0.6666667,False,,BRCA
TEST_0317,93,STES,LIHC,0.1724138,False,,STES
TEST_0318,6,THCA,KIPAN,0.0,False,,THCA
TEST_0319,18,UCEC,GBMLGG,0.375,False,,UCEC
TEST_0320,3,PRAD,PCPG,0.5,False,,PRAD
TEST_0321,39,BRCA,COAD,0.42857143,False,,BRCA
TEST_0322,9,LGG,GBMLGG,1.0,True,GBMLGG,LGG
TEST_0323,27,KIPAN,KIRC,0.21428572,False,,KIPAN
TEST_0324,313,SKCM,SKCM,0.32960895,False,,SKCM
TEST_0325,80,COAD,LUSC,0.21052632,False,,COAD
TEST_0326,9,OV,BLCA,0.6666667,False,,OV
TEST_0327,7,BRCA,SARC,0.5,False,,SARC
TEST_0328,18,KIPAN,KIRC,1.0,True,KIRC,KIPAN
TEST_0329,50,CESC,UCEC,0.1875,False,,CESC
TEST_0330,66,STES,COAD,0.19444445,False,,STES
TEST_0331,56,STES,LUSC,0.1875,False,,STES
TEST_0332,57,STES,KIPAN,0.18181819,False,,LUSC
TEST_0333,3,KIPAN,GBMLGG,1.0,True,KIRC,KIPAN
TEST_0334,22,LIHC,LIHC,0.27272728,False,,CESC
TEST_0335,102,LUAD,LUAD,0.19672132,False,,LUAD
TEST_0336,299,UCEC,COAD,0.28019324,False,,UCEC
TEST_0337,55,STES,COAD,0.2173913,False,,STES
TEST_0338,47,KIPAN,LIHC,0.23076923,False,,KIPAN
TEST_0339,9,BRCA,KIPAN,0.4,False,,BRCA
TEST_0340,65,STES,COAD,0.22727273,False,,STES
TEST_0341,26,KIRC,KIPAN,1.0,True,KIPAN,KIRC
TEST_0342,129,SKCM,SKCM,0.23728813,False,,SKCM
TEST_0343,7,BRCA,PAAD,0.6666667,False,,BRCA
TEST_0344,29,LUAD,SARC,0.27272728,False,,LUSC
TEST_0345,66,SKCM,HNSC,0.24390244,False,,SKCM
TEST_0346,43,COAD,OV,0.2,False,,COAD
TEST_0347,633,STES,PAAD,0.4236111,False,,STES
TEST_0348,947,ACC,SKCM,0.5362319,False,,ACC
TEST_0349,48,STES,LUSC,0.19444445,False,,STES
TEST_0350,55,STES,BLCA,0.2173913,False,,STES
TEST_0351,13,BRCA,UCEC,0.5,False,,BRCA
TEST_0352,1,PCPG,PCPG,1.0,False,,PCPG
TEST_0353,180,LIHC,UCEC,0.22321428,False,,LIHC
TEST_0354,42,COAD,LUSC,0.18518518,False,,COAD
TEST_0355,49,STES,LUAD,0.23333333,False,,LUAD
TEST_0356,33,STES,BRCA,0.27272728,False,,STES
TEST_0357,18,TGCT,LGG,1.0,False,,TGCT
TEST_0358,20,OV,COAD,0.33333334,False,,OV
TEST_0359,40,STES,COAD,0.1923077,False,,STES
TEST_0360,9,OV,PRAD,0.5,False,,OV
TEST_0361,57,LUAD,LUSC,0.2,False,,LUAD
TEST_0362,50,STES,SARC,0.17857143,False,,STES
TEST_0363,35,HNSC,STES,0.23529412,False,,OV
TEST_0364,49,STES,KIPAN,0.2,False,,STES
TEST_0365,10,COAD,SARC,0.4,False,,COAD
TEST_0366,1,KIRC,KIPAN,1.0,True,TIE,KIRC
TEST_0367,7,BRCA,TGCT,1.0,False,,BRCA
TEST_0368,57,STES,HNSC,0.21428572,False,,STES
TEST_0369,29,BRCA,KIPAN,0.25,False,,BRCA
TEST_0370,17,LIHC,OV,0.33333334,False,,BRCA
TEST_0371,8,BRCA,PCPG,0.5,False,,PRAD
TEST_0372,13,BRCA,OV,0.6666667,False,,BRCA
TEST_0373,12,BRCA,BRCA,0.5,False,,SARC
TEST_0374,0,THYM,KIPAN,0.0,False,,THYM
TEST_0375,25,OV,PAAD,0.5,False,,OV
TEST_0376,16,LIHC,LUAD,0.2857143,False,,SARC
TEST_0377,24,DLBC,KIRC,0.25,False,,DLBC
TEST_0378,9,OV,OV,0.5,False,,OV
TEST_0379,8,THCA,THCA,0.5,False,,THCA
TEST_0380,39,COAD,STES,0.2,False,,STES
TEST_0381,50,STES,DLBC,0.1923077,False,,STES
TEST_0382,12,PRAD,SARC,0.2857143,False,,SARC
TEST_0383,37,KIPAN,ACC,0.23529412,False,,KIPAN
TEST_0384,2,PRAD,KIPAN,0.0,False,,PRAD
TEST_0385,26,HNSC,BRCA,0.3,False,,HNSC
TEST_0386,17,UCEC,LIHC,0.36363637,False,,UCEC
TEST_0387,2,PRAD,PRAD,1.0,False,,PRAD
TEST_0388,4,THCA,KIPAN,1.0,False,,PCPG
TEST_0389,15,KIPAN,PRAD,0.4,False,,KIRC
TEST_0390,1,THCA,BRCA,1.0,False,,PRAD
TEST_0391,38,BRCA,OV,0.2,False,,BRCA
TEST_0392,18,KIPAN,KIRC,1.0,True,KIRC,KIPAN
TEST_0393,26,KIPAN,KIRC,1.0,True,KIRC,KIPAN
TEST_0394,30,LUAD,BRCA,0.2,False,,LUAD
TEST_0395,27,LUAD,LUAD,0.2857143,False,,LUAD
TEST_0396,33,STES,OV,0.21428572,False,,STES
TEST_0397,41,STES,SKCM,0.1875,False,,STES
TEST_0398,3,PRAD,PRAD,0.5,False,,PRAD
TEST_0399,11,COAD,COAD,0.2857143,False,,COAD
TEST_0400,113,LIHC,GBMLGG,0.16666667,False,,LIHC
TEST_0401,5,THCA,THYM,0.5,False,,PRAD
TEST_0402,38,COAD,COAD,0.2631579,False,,COAD
TEST_0403,605,COAD,SKCM,0.4440433,False,,COAD
TEST_0404,34,CESC,BRCA,0.2,False,,CESC
TEST_0405,33,COAD,COAD,0.2857143,False,,COAD
TEST_0406,123,LUAD,SKCM,0.15555556,False,,LUAD
TEST_0407,55,STES,BRCA,0.21428572,False,,STES
TEST_0408,30,LUAD,GBMLGG,0.26666668,False,,SARC
TEST_0409,2,THCA,THCA,1.0,False,,THCA
TEST_0410,396,STES,UCEC,0.30612245,False,,STES
TEST_0411,78,HNSC,BRCA,0.26086956,False,,BLCA
TEST_0412,40,KIPAN,ACC,0.36363637,False,,KIPAN
TEST_0413,24,BRCA,GBMLGG,0.3,False,,OV
TEST_0414,62,COAD,STES,0.1764706,False,,COAD
TEST_0415,10,SARC,PCPG,0.25,False,,SARC
TEST_0416,51,STES,HNSC,0.225,False,,LUSC
TEST_0417,12,GBMLGG,LGG,1.0,True,LGG,GBMLGG
TEST_0418,39,BRCA,OV,0.2,False,,BRCA
TEST_0419,46,COAD,BRCA,0.16,False,,COAD
TEST_0420,5,BRCA,BRCA,0.5,False,,BRCA
TEST_0421,27,KIPAN,SARC,0.1764706,False,,KIPAN
TEST_0422,128,LUAD,CESC,0.19387755,False,,LUAD
TEST_0423,39,STES,OV,0.21052632,False,,STES
TEST_0424,24,KIPAN,STES,0.33333334,False,,KIPAN
TEST_0425,59,COAD,KIPAN,0.2,False,,COAD
TEST_0426,41,STES,COAD,0.20833333,False,,STES
TEST_0427,23,BRCA,OV,0.33333334,False,,BRCA
TEST_0428,7,BRCA,LUAD,0.2857143,False,,PRAD
TEST_0429,64,LUSC,COAD,0.19444445,False,,LUSC
TEST_0430,62,LUSC,STES,0.17391305,False,,LUSC
TEST_0431,62,STES,SARC,0.17391305,False,,STES
TEST_0432,4,PCPG,THYM,1.0,False,,PRAD
TEST_0433,27,OV,BRCA,0.27272728,False,,OV
TEST_0434,64,LUSC,BRCA,0.1904762,False,,LUSC
TEST_0435,1,THCA,KIPAN,0.0,False,,PRAD
TEST_0436,65,STES,HNSC,0.17021276,False,,STES
TEST_0437,16,OV,BRCA,0.6666667,False,,OV
TEST_0438,31,SKCM,THCA,0.5,False,,SKCM
TEST_0439,6,PRAD,KIPAN,0.5,False,,PRAD
TEST_0440,28,BRCA,COAD,0.22727273,False,,BRCA
TEST_0441,8,BRCA,LGG,0.6666667,False,,SARC
TEST_0442,51,STES,HNSC,0.17142858,False,,STES
